(<http://dbpedia.org/resource/Lester_Lefton>,<http://dbpedia.org/resource/David_Naylor>) (4,0) :	sim: 0.459
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Cleveland>) (14,6) :	sim: 0.160
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/Kent_State_University>,<http://dbpedia.org/resource/David_Naylor>) (8,0) :	sim: 0.160
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.333	33.3%
	<http://dbpedia.org/property/name> ( 145 ) : 0.333	33.3%
	<http://dbpedia.org/property/website> ( 231 ) : 0.333	33.3%
(<http://dbpedia.org/resource/Cleveland>,<http://dbpedia.org/resource/Lester_Lefton>) (6,4) :	sim: 0.160
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
	<http://dbpedia.org/property/name> ( 145 ) : 0.500	50.0%
(<http://dbpedia.org/resource/Cleveland>,<http://dbpedia.org/resource/David_Naylor>) (6,0) :	sim: 0.159
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.333	33.3%
	<http://dbpedia.org/property/name> ( 145 ) : 0.333	33.3%
	<http://dbpedia.org/property/website> ( 231 ) : 0.333	33.3%
(<http://dbpedia.org/resource/Case_Western_Reserve_University>,<http://dbpedia.org/resource/David_Naylor>) (10,0) :	sim: 0.159
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.333	33.3%
	<http://dbpedia.org/property/name> ( 145 ) : 0.333	33.3%
	<http://dbpedia.org/property/website> ( 231 ) : 0.333	33.3%
(<http://dbpedia.org/resource/University_of_Toronto>,<http://dbpedia.org/resource/Barbara_Snyder>) (16,14) :	sim: 0.158
	<http://dbpedia.org/property/hasPhotoCollection> ( 0 ) : 0.500	50.0%
