(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/David_Naylor>) (14,0) :	sim: 0.717
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.167	16.7%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.167	16.7%
(<http://dbpedia.org/resource/Cleveland>,<http://dbpedia.org/resource/Lester_Lefton>) (6,4) :	sim: 0.256
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Cleveland>) (14,6) :	sim: 0.254
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Cleveland>,<http://dbpedia.org/resource/David_Naylor>) (6,0) :	sim: 0.254
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Kent,_Ohio>,<http://dbpedia.org/resource/Case_Western_Reserve_University>) (12,10) :	sim: 0.249
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.167	16.7%
	<http://dbpedia.org/property/name> ( 51 ) : 0.167	16.7%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.167	16.7%
	<http://xmlns.com/foaf/0.1/nick> ( 84 ) : 0.167	16.7%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.167	16.7%
(<http://dbpedia.org/resource/Kent,_Ohio>,<http://dbpedia.org/resource/Lester_Lefton>) (12,4) :	sim: 0.231
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Kent,_Ohio>,<http://dbpedia.org/resource/David_Naylor>) (12,0) :	sim: 0.230
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Kent,_Ohio>) (14,12) :	sim: 0.229
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Lester_Lefton>,<http://dbpedia.org/resource/Toronto>) (4,2) :	sim: 0.228
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Toronto>,<http://dbpedia.org/resource/David_Naylor>) (2,0) :	sim: 0.227
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
(<http://dbpedia.org/resource/Barbara_Snyder>,<http://dbpedia.org/resource/Toronto>) (14,2) :	sim: 0.225
	<http://www.w3.org/2000/01/rdf-schema#label> ( 0 ) : 0.200	20.0%
	<http://dbpedia.org/property/name> ( 51 ) : 0.200	20.0%
	<http://dbpedia.org/ontology/abstract> ( 80 ) : 0.200	20.0%
	<http://xmlns.com/foaf/0.1/name> ( 83 ) : 0.200	20.0%
	<http://www.w3.org/2000/01/rdf-schema#comment> ( 87 ) : 0.200	20.0%
